"Replica","Seed","TotalRequests","TotalSuitcases","Delivered","Undelivered","LateSuitcases","TotalDelay","CapacityOverflow","WarehouseOverflow","Fitness","Semaphore","IterationsRun","Improvements","ExecutionTime"
"1","1","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","1","2","82519 ms"
"2","2","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","2","4","147603 ms"
"3","3","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","1","2","62098 ms"
"4","4","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","1","3","61603 ms"
"5","5","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","1","5","62755 ms"
"6","6","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","1","7","63994 ms"
"7","7","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","2","6","126519 ms"
"8","8","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","3","8","188560 ms"
"9","9","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","1","4","62437 ms"
"10","10","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","5","7","372679 ms"
"11","11","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","2","2","156836 ms"
"12","12","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","2","3","154821 ms"
"13","13","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","3","4","233838 ms"
"14","14","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","3","5","227234 ms"
"15","15","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","1","3","74065 ms"
"16","16","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","1","6","72394 ms"
"17","17","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","1","3","70961 ms"
"18","18","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","1","5","70849 ms"
"19","19","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","1","1","68406 ms"
"20","20","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","4","5","276792 ms"
"21","21","63329","116130","116130","0","1","0.39 days","0","0","1038.89","GREEN","5","9","346314 ms"
"22","22","63329","116130","116130","0","0","0.00 days","0","0","0.00","GREEN","3","3","206485 ms"
